Feature,Importance
base_range_km,0.5906764175832819
speed_kmh,0.2695521196496496
ambient_temp_c,0.04636157697366725
terrain_grade_pct,0.042869039758921826
long_range_capable,0.011249358151003506
energy_consumed_kwh,0.009569612992132817
hvac_level,0.007454326503742604
payload_kg,0.006013428406775827
trip_distance_km,0.0034039988620014608
efficiency_score_wh_per_km,0.002310173166455112
acceleration_0_100_s,0.0020764762526980576
battery_capacity_kwh,0.0020278972602601826
price_usd,0.0018798541144775698
release_year,0.0014835689701446144
safety_rating,0.0005494725834206934
range_anxiety_flag,0.0004981588180285474
market_region_Europe,0.00036560321018592264
drivetrain_RWD,0.00036474314294886206
drivetrain_FWD,0.00036451376033200803
market_region_Oceania,0.0002884874482322274
market_region_India,0.0002496974369965993
market_region_Middle East,0.0002337945818470698
market_region_North America,0.0001576803727957293
